Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MUTYH","MutY DNA Glycosylase","Protein Coding","Q9UIF7","53","GC01M045329","126.440422058105","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUTYH"
"BLM","BLM RecQ Like Helicase","Protein Coding","P54132","58","GC15P090717","125.56184387207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLM"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","63","GC07P116672","125.068412780762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"RET","Ret Proto-Oncogene","Protein Coding","P07949","63","GC10P044088","124.892974853516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","62","GC03P041194","124.563751220703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"DICER1","Dicer 1, Ribonuclease III","Protein Coding","Q9UPY3","57","GC14M095086","122.456596374512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1"
"ALK","ALK Receptor Tyrosine Kinase","Protein Coding","Q9UM73","59","GC02M029190","120.790626525879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","60","GC16P065017","120.261009216309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","57","GC13P048303","119.890472412109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"MRE11","MRE11 Homolog, Double Strand Break Repair Nuclease","Protein Coding","P49959","56","GC11M121846","118.480628967285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRE11"
"STK11","Serine/Threonine Kinase 11","Protein Coding","Q15831","59","GC19P001177","117.798614501953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
"MLH3","MutL Homolog 3","Protein Coding","Q9UHC1","48","GC14M075013","116.976303100586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH3"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","62","GC14M104769","116.678314208984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"PTCH1","Patched 1","Protein Coding","Q13635","60","GC09M095442","115.177093505859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH1"
"POLD1","DNA Polymerase Delta 1, Catalytic Subunit","Protein Coding","P28340","54","GC19P103504","111.80770111084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD1"
"SMAD4","SMAD Family Member 4","Protein Coding","Q13485","61","GC18P051028","109.05297088623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","62","GC04P054657","104.208419799805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","34","GC11M001995","102.818710327148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"AR","Androgen Receptor","Protein Coding","P10275","60","GC0XP067544","99.5625076293945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"FANCC","FA Complementation Group C","Protein Coding","Q00597","57","GC09M095099","99.5015640258789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCC"
"SMARCA4","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4","Protein Coding","P51532","60","GC19P102331","97.3763275146484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4"
"BMPR1A","Bone Morphogenetic Protein Receptor Type 1A","Protein Coding","P36894","60","GC10P106576","97.0864181518555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A"
"TSC1","TSC Complex Subunit 1","Protein Coding","Q92574","56","GC09M132891","97.0469207763672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","P46527","57","GC12P036153","96.3663024902344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","60","GC05M001253","93.546760559082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"MIR21","MicroRNA 21","RNA Gene","","31","GC17P102034","92.5367813110352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"PDGFRA","Platelet Derived Growth Factor Receptor Alpha","Protein Coding","P16234","62","GC04P054229","92.1957397460938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA"
"FLCN","Folliculin","Protein Coding","Q8NFG4","51","GC17M017212","91.3606185913086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLCN"
"CTNNA1","Catenin Alpha 1","Protein Coding","P35221","55","GC05P138671","90.7120666503906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNA1"
"FH","Fumarate Hydratase","Protein Coding","P07954","55","GC01M241499","90.6312255859375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","62","GC06P151656","90.0130004882813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"PVT1","Pvt1 Oncogene","RNA Gene","","32","GC08P128043","89.5682525634766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"MEG3","Maternally Expressed 3","RNA Gene","","34","GC14P115583","88.2504577636719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"FANCM","FA Complementation Group M","Protein Coding","Q8IYD8","51","GC14P045135","87.558952331543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCM"
"GAS5","Growth Arrest Specific 5","RNA Gene","","30","GC01M173947","87.46240234375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5"
"MSH3","MutS Homolog 3","Protein Coding","P20585","51","GC05P080654","87.3445434570313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH3"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","P01112","61","GC11M010201","84.7993621826172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","P11802","62","GC12M059168","82.7763442993164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"CCAT1","Colon Cancer Associated Transcript 1","RNA Gene","","21","GC08M127207","82.7080688476563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT1"
"AOPEP","Aminopeptidase O (Putative)","Protein Coding","Q8N6M6","48","GC09P098556","82.1278991699219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOPEP"
"MALAT1","Metastasis Associated Lung Adenocarcinoma Transcript 1","RNA Gene","","31","GC11P084571","82.0256805419922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1"
"KIF1B","Kinesin Family Member 1B","Protein Coding","O60333","52","GC01P010210","81.8624496459961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF1B"
"XIST","X Inactive Specific Transcript","RNA Gene","","30","GC0XM073820","81.5858306884766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST"
"UCA1","Urothelial Cancer Associated 1","RNA Gene","","29","GC19P111735","81.4570007324219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCA1"
"EPCAM","Epithelial Cell Adhesion Molecule","Protein Coding","P16422","56","GC02P047345","81.2831192016602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM"
"XRCC2","X-Ray Repair Cross Complementing 2","Protein Coding","O43543","49","GC07M152644","80.3526153564453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC2"
"MIR125A","MicroRNA 125a","RNA Gene","","28","GC19P103569","80.28271484375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A"
"MIR145","MicroRNA 145","RNA Gene","","30","GC05P149430","79.9704132080078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145"
"HOTAIR","HOX Transcript Antisense RNA","RNA Gene","","31","GC12M053962","79.8537292480469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","P21802","64","GC10M121478","78.527214050293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"BAP1","BRCA1 Associated Protein 1","Protein Coding","Q92560","56","GC03M052401","78.3995590209961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAP1"
"LOC129390903","MPRA-Validated Peak2919 Silencer","Functional Element","","9","GC17P107357","76.9512252807617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC129390903"
"ERCC2","ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit","Protein Coding","P18074","56","GC19M045349","75.9343719482422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC2"
"TUG1","Taurine Up-Regulated 1","Protein Coding","A0A6I8PU40","32","GC22P030969","75.9232330322266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUG1"
"MIR143","MicroRNA 143","RNA Gene","","30","GC05P150871","75.7502593994141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR143"
"WT1","WT1 Transcription Factor","Protein Coding","P19544","56","GC11M032365","75.7098693847656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1"
"MIR221","MicroRNA 221","RNA Gene","","27","GC0XM045746","75.699577331543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","61","GC08P127735","74.8528900146484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"CCAT2","Colon Cancer Associated Transcript 2","RNA Gene","","20","GC08P127400","74.126091003418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT2"
"FANCD2","FA Complementation Group D2","Protein Coding","Q9BXW9","55","GC03P010026","72.8868942260742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCD2"
"MIR141","MicroRNA 141","RNA Gene","","28","GC12P035966","72.8638916015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR141"
"MIR30A","MicroRNA 30a","RNA Gene","","26","GC06M071403","72.4737777709961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A"
"RECQL4","RecQ Like Helicase 4","Protein Coding","O94761","50","GC08M146489","72.2591705322266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RECQL4"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","","30","GC09P021994","72.0380401611328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"MIR200C","MicroRNA 200c","RNA Gene","","28","GC12P035965","71.9832763671875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200C"
"MIR214","MicroRNA 214","RNA Gene","","29","GC01M172234","71.6224365234375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214"
"MIR222","MicroRNA 222","RNA Gene","","27","GC0XM045747","71.2094650268555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222"
"CCND1","Cyclin D1","Protein Coding","P24385","62","GC11P069641","71.0274810791016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"MIR200B","MicroRNA 200b","RNA Gene","","28","GC01P001167","70.9305267333984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200B"
"LINC-ROR","Long Intergenic Non-Protein Coding RNA, Regulator Of Reprogramming","RNA Gene","","23","GC18M057054","70.2193756103516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-ROR"
"MIR126","MicroRNA 126","RNA Gene","","29","GC09P136670","70.1844940185547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"TH2LCRR","T Helper Type 2 Locus Control Region Associated RNA","RNA Gene","","22","GC05M132631","70.0412750244141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH2LCRR"
"PMS1","PMS1 Homolog 1, Mismatch Repair System Component","Protein Coding","P54277","49","GC02P189784","69.8540725708008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS1"
"MIR146A","MicroRNA 146a","RNA Gene","","29","GC05P160485","69.654426574707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"RAD51","RAD51 Recombinase","Protein Coding","Q06609","59","GC15P040694","69.3843841552734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51"
"MIR155","MicroRNA 155","RNA Gene","","28","GC21P025573","69.0282516479492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"MIR31","MicroRNA 31","RNA Gene","","27","GC09M022098","68.9454498291016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR31"
"SMARCB1","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily B, Member 1","Protein Coding","Q12824","55","GC22P023786","68.9189910888672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCB1"
"HOXB13","Homeobox B13","Protein Coding","Q92826","50","GC17M072135","68.5570068359375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB13"
"BUB1B","BUB1 Mitotic Checkpoint Serine/Threonine Kinase B","Protein Coding","O60566","58","GC15P040161","68.4612121582031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUB1B"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","64","GC01M011106","68.4102554321289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"MIR182","MicroRNA 182","RNA Gene","","28","GC07M129770","68.385986328125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR182"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","P22607","63","GC04P003013","68.0660705566406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"MIR34C","MicroRNA 34c","RNA Gene","","28","GC11P112372","67.5831146240234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34C"
"NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","","32","GC11P084565","67.4629211425781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEAT1"
"ZFAS1","ZNFX1 Antisense RNA 1","RNA Gene","","27","GC20P049276","66.7445831298828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFAS1"
"MIR10B","MicroRNA 10b","RNA Gene","","28","GC02P176150","66.4555892944336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR10B"
"MIR200A","MicroRNA 200a","RNA Gene","","27","GC01P011074","66.2286834716797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200A"
"MIR223","MicroRNA 223","RNA Gene","","28","GC0XP066018","66.2046051025391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223"
"MIRLET7C","MicroRNA Let-7c","RNA Gene","","28","GC21P017033","66.0965957641602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7C"
"MIR195","MicroRNA 195","RNA Gene","","26","GC17M016815","65.6099090576172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR195"
"NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","P01111","59","GC01M114704","65.381217956543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS"
"MIR146B","MicroRNA 146b","RNA Gene","","28","GC10P102436","65.2588577270508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146B"
"LOC126806658","BRD4-Independent Group 4 Enhancer GRCh37_chr3:41265899-41267098","Functional Element","","9","GC03P041224","65.2112731933594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126806658"
"ERCC4","ERCC Excision Repair 4, Endonuclease Catalytic Subunit","Protein Coding","Q92889","54","GC16P013920","65.1003952026367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC4"
"VHL","Von Hippel-Lindau Tumor Suppressor","Protein Coding","P40337","56","GC03P020237","64.6939468383789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL"
"FBXW7","F-Box And WD Repeat Domain Containing 7","Protein Coding","Q969H0","54","GC04M152321","64.5919876098633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXW7"
"MIR210","MicroRNA 210","RNA Gene","","28","GC11M010207","64.5896682739258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR210"
"ERCC5","ERCC Excision Repair 5, Endonuclease","Protein Coding","P28715","54","GC13P102845","64.4336624145508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC5"
"RNASEL","Ribonuclease L","Protein Coding","Q05823","52","GC01M182573","64.2144165039063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEL"
"MIR29A","MicroRNA 29a","RNA Gene","","28","GC07M130876","64.2134857177734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29A"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","O60260","57","GC06M161348","64.090576171875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"FSHR","Follicle Stimulating Hormone Receptor","Protein Coding","P23945","56","GC02M048962","63.9446563720703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSHR"
"FANCA","FA Complementation Group A","Protein Coding","O15360","58","GC16M090051","63.9201812744141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCA"
"ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","P21860","62","GC12P059621","63.8900451660156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3"
"MIR100","MicroRNA 100","RNA Gene","","28","GC11M122152","63.8638916015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR100"
"RECQL","RecQ Like Helicase","Protein Coding","P46063","50","GC12M021468","63.5849685668945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RECQL"
"MIRLET7D","MicroRNA Let-7d","RNA Gene","","29","GC09P094178","63.548713684082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7D"
"CASP8","Caspase 8","Protein Coding","Q14790","61","GC02P201233","63.3467063903809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"MT-CYB","Mitochondrially Encoded Cytochrome B","Protein Coding","P00156","40","GCMTP014749","62.9285659790039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CYB"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","P31040","57","GC05P000223","62.7857055664063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"TH2-LCR","Th2 Cytokine Locus Control Region","Functional Element","","9","GC05P132629","62.5883140563965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH2-LCR"
"MIR140","MicroRNA 140","RNA Gene","","30","GC16P076899","62.468864440918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR140"
"MIR150","MicroRNA 150","RNA Gene","","28","GC19M049500","62.448486328125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR150"
"WRN","WRN RecQ Like Helicase","Protein Coding","Q14191","56","GC08P031033","62.273494720459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN"
"MSR1","Macrophage Scavenger Receptor 1","Protein Coding","P21757","54","GC08M016107","62.2236328125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSR1"
"MIR29C","MicroRNA 29c","RNA Gene","","25","GC01M207829","62.0741577148438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29C"
"MIR34A","MicroRNA 34a","RNA Gene","","29","GC01M013270","62.0308532714844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"MIR17","MicroRNA 17","RNA Gene","","26","GC13P091350","61.6375007629395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"SPRY4-IT1","SPRY4 Intronic Transcript 1","RNA Gene","","21","GC05M142318","61.6127548217773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRY4-IT1"
"PALLD","Palladin, Cytoskeletal Associated Protein","Protein Coding","Q8WX93","50","GC04P168497","61.5761413574219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALLD"
"ABRAXAS1","Abraxas 1, BRCA1 A Complex Subunit","Protein Coding","Q6UWZ7","45","GC04M083464","61.4474334716797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABRAXAS1"
"HNF1B","HNF1 Homeobox B","Protein Coding","P35680","52","GC17M037686","61.3784103393555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1B"
"PPM1D","Protein Phosphatase, Mg2+/Mn2+ Dependent 1D","Protein Coding","O15297","56","GC17P060600","61.0243759155273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1D"
"CYP17A1","Cytochrome P450 Family 17 Subfamily A Member 1","Protein Coding","P05093","57","GC10M102830","60.9432029724121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP17A1"
"MIR335","MicroRNA 335","RNA Gene","","27","GC07P130496","60.8717041015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR335"
"FANCE","FA Complementation Group E","Protein Coding","Q9HB96","50","GC06P125616","60.7962379455566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCE"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","62","GC17M042313","60.6742782592773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"MIR127","MicroRNA 127","RNA Gene","","28","GC14P114594","60.651496887207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR127"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","P37173","61","GC03P030623","60.568920135498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"MIR99A","MicroRNA 99a","RNA Gene","","28","GC21P016539","60.5351486206055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR99A"
"MEN1","Menin 1","Protein Coding","O00255","54","GC11M064803","60.4733009338379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"SNHG16","Small Nucleolar RNA Host Gene 16","RNA Gene","","26","GC17P102459","60.4340400695801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG16"
"MIR224","MicroRNA 224","RNA Gene","","23","GC0XM151958","60.0800628662109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR224"
